Id,Date,WeightKg,WeightPounds,Fat,BMI,IsManualReport,LogId
1503960366,05/02/2016 11:59:59 PM,52.60,115.96,22,22.65,TRUE,1.46223E+12
1503960366,05/03/2016 11:59:59 PM,52.60,115.96,,22.65,TRUE,1.46232E+12
1927972279,4/13/2016 1:08:52 AM,133.50,294.32,,47.54,FALSE,1.46051E+12
2873212765,4/21/2016 11:59:59 PM,56.70,125.00,,21.45,TRUE,1.46128E+12
2873212765,05/12/2016 11:59:59 PM,57.30,126.32,,21.69,TRUE,1.4631E+12
4319703577,4/17/2016 11:59:59 PM,72.40,159.61,25,27.45,TRUE,1.46094E+12
4319703577,05/04/2016 11:59:59 PM,72.30,159.39,,27.38,TRUE,1.46241E+12
4558609924,4/18/2016 11:59:59 PM,69.70,153.66,,27.25,TRUE,1.46102E+12
4558609924,4/25/2016 11:59:59 PM,70.30,154.98,,27.46,TRUE,1.46163E+12
4558609924,05/01/2016 11:59:59 PM,69.90,154.10,,27.32,TRUE,1.46215E+12
4558609924,05/02/2016 11:59:59 PM,69.20,152.56,,27.04,TRUE,1.46223E+12
4558609924,05/09/2016 11:59:59 PM,69.10,152.34,,27.00,TRUE,1.46284E+12
5577150313,4/17/2016 9:17:55 AM,90.70,199.96,,28.00,FALSE,1.46088E+12
6962181067,04/12/2016 11:59:59 PM,62.50,137.79,,24.39,TRUE,1.46051E+12
6962181067,4/13/2016 11:59:59 PM,62.10,136.91,,24.24,TRUE,1.46059E+12
6962181067,4/14/2016 11:59:59 PM,61.70,136.03,,24.10,TRUE,1.46068E+12
6962181067,4/15/2016 11:59:59 PM,61.50,135.58,,24.00,TRUE,1.46076E+12
6962181067,4/16/2016 11:59:59 PM,62.00,136.69,,24.21,TRUE,1.46085E+12
6962181067,4/17/2016 11:59:59 PM,61.40,135.36,,23.96,TRUE,1.46094E+12
6962181067,4/18/2016 11:59:59 PM,61.20,134.92,,23.89,TRUE,1.46102E+12
6962181067,4/19/2016 11:59:59 PM,61.40,135.36,,23.96,TRUE,1.46111E+12
6962181067,4/20/2016 11:59:59 PM,61.70,136.03,,24.10,TRUE,1.4612E+12
6962181067,4/21/2016 11:59:59 PM,61.40,135.36,,23.96,TRUE,1.46128E+12
6962181067,4/22/2016 11:59:59 PM,61.40,135.36,,23.96,TRUE,1.46137E+12
6962181067,4/23/2016 11:59:59 PM,61.50,135.58,,24.00,TRUE,1.46146E+12
6962181067,4/24/2016 11:59:59 PM,61.50,135.58,,24.00,TRUE,1.46154E+12
6962181067,4/25/2016 11:59:59 PM,61.70,136.03,,24.10,TRUE,1.46163E+12
6962181067,4/27/2016 11:59:59 PM,61.20,134.92,,23.89,TRUE,1.4618E+12
6962181067,4/28/2016 11:59:59 PM,61.20,134.92,,23.89,TRUE,1.46189E+12
6962181067,4/29/2016 11:59:59 PM,61.40,135.36,,23.96,TRUE,1.46197E+12
6962181067,4/30/2016 11:59:59 PM,61.00,134.48,,23.82,TRUE,1.46206E+12
6962181067,05/01/2016 11:59:59 PM,61.70,136.03,,24.10,TRUE,1.46215E+12
6962181067,05/02/2016 11:59:59 PM,61.50,135.58,,24.00,TRUE,1.46223E+12
6962181067,05/03/2016 11:59:59 PM,61.00,134.48,,23.82,TRUE,1.46232E+12
6962181067,05/04/2016 11:59:59 PM,61.10,134.70,,23.85,TRUE,1.46241E+12
6962181067,05/05/2016 11:59:59 PM,61.30,135.14,,23.93,TRUE,1.46249E+12
6962181067,05/06/2016 11:59:59 PM,61.50,135.58,,24.00,TRUE,1.46258E+12
6962181067,05/07/2016 11:59:59 PM,61.20,134.92,,23.89,TRUE,1.46267E+12
6962181067,05/08/2016 11:59:59 PM,61.20,134.92,,23.89,TRUE,1.46275E+12
6962181067,05/09/2016 11:59:59 PM,62.40,137.57,,24.35,TRUE,1.46284E+12
6962181067,05/10/2016 11:59:59 PM,62.10,136.91,,24.24,TRUE,1.46292E+12
6962181067,05/11/2016 11:59:59 PM,61.90,136.47,,24.17,TRUE,1.46301E+12
6962181067,05/12/2016 11:59:59 PM,61.90,136.47,,24.17,TRUE,1.4631E+12
8877689391,04/12/2016 06:47:11 AM,85.80,189.16,,25.68,FALSE,1.46044E+12
8877689391,4/13/2016 6:55:00 AM,84.90,187.17,,25.41,FALSE,1.46053E+12
8877689391,4/14/2016 6:48:43 AM,84.50,186.29,,25.31,FALSE,1.46062E+12
8877689391,4/16/2016 1:39:25 PM,85.50,188.50,,25.59,FALSE,1.46081E+12
8877689391,4/18/2016 6:51:14 AM,85.80,189.16,,25.68,FALSE,1.46096E+12
8877689391,4/19/2016 6:39:31 AM,85.30,188.05,,25.53,FALSE,1.46105E+12
8877689391,4/20/2016 6:44:54 AM,84.90,187.17,,25.41,FALSE,1.46113E+12
8877689391,4/21/2016 6:50:27 AM,84.50,186.29,,25.29,FALSE,1.46122E+12
8877689391,4/23/2016 7:22:28 AM,85.50,188.50,,25.59,FALSE,1.4614E+12
8877689391,4/24/2016 7:38:05 AM,85.50,188.50,,25.59,FALSE,1.46148E+12
8877689391,4/25/2016 6:40:16 AM,85.40,188.27,,25.56,FALSE,1.46157E+12
8877689391,4/26/2016 6:50:27 AM,85.10,187.61,,25.49,FALSE,1.46165E+12
8877689391,4/27/2016 6:51:05 AM,85.40,188.27,,25.56,FALSE,1.46174E+12
8877689391,4/28/2016 6:50:03 AM,85.10,187.61,,25.49,FALSE,1.46183E+12
8877689391,4/29/2016 6:49:55 AM,84.90,187.17,,25.41,FALSE,1.46191E+12
8877689391,4/30/2016 7:49:03 AM,85.50,188.50,,25.59,FALSE,1.462E+12
8877689391,05/01/2016 08:47:49 AM,85.30,188.05,,25.53,FALSE,1.46209E+12
8877689391,05/03/2016 06:49:41 AM,84.90,187.17,,25.41,FALSE,1.46226E+12
8877689391,05/04/2016 06:48:22 AM,84.40,186.07,,25.26,FALSE,1.46234E+12
8877689391,05/06/2016 06:43:35 AM,85.00,187.39,,25.44,FALSE,1.46252E+12
8877689391,05/08/2016 07:35:53 AM,85.40,188.27,,25.56,FALSE,1.46269E+12
8877689391,05/09/2016 06:39:44 AM,85.50,188.50,,25.61,FALSE,1.46278E+12
8877689391,05/11/2016 06:51:47 AM,85.40,188.27,,25.56,FALSE,1.46295E+12
8877689391,05/12/2016 06:42:53 AM,84.00,185.19,,25.14,FALSE,1.46304E+12
